"Factors","p^a >","Smallest q^2ß","Smallest q^2ß <","Largest q^2ß","Largest q^2ß >","Q^2 =1 mod 16","Q^2 =1 mod 32","N >","N=1 mod 12","N=117 mod 468","N=81 mod 324","105 | N","s(n)/n˜"
(5^117)(3^58)(13^58)(17^58)(19^58)(23^58)(29^58)(31^58)(37^58)(41^58),10^81,q1^2ß1,10^28,q9^2ß9,10^93,no,no,10^754,no,yes,yes,no,2.685233535897081293674175618430030497919184038524365067100959578533134048238062240551810350924407768354125125725258724921250402925220935280566892958761697842074843247230439805190311854291756761207282
(5^121)(3^60)(13^60)(17^60)(19^60)(23^60)(29^60)(31^60)(37^60)(41^60),10^84,q1^2ß1,10^29,q9^2ß9,10^96,yes,no,10^780,no,yes,yes,no,2.685233535897081293674175618598948334886583961572392916647521984536865163203836092462413956341448973446969373299465092387361328598733836366228922154218760209235826974144467887226443646687770042950745
(5^125)(3^62)(13^62)(17^62)(19^62)(23^62)(29^62)(31^62)(37^62)(41^62),10^87,q1^2ß1,10^30,q9^2ß9,10^99,no,no,10^806,no,yes,yes,no,2.685233535897081293674175618617716983438517286355507122152695585203414611242513309583376749435917286794867937787018867868464233859159313941127283191744579127389517894638827685259410121068950371656986
(5^129)(3^64)(13^64)(17^64)(19^64)(23^64)(29^64)(31^64)(37^64)(41^64),10^90,q1^2ß1,10^31,q9^2ß9,10^103,yes,yes,10^832,no,yes,yes,no,2.685233535897081293674175618619802388833176544664742033875492651944139181023047085150193193146150587072868879835833062536782865439151508580650590819023425344530691615001475111768974142213974150734288
(5^133)(3^66)(13^66)(17^66)(19^66)(23^66)(29^66)(31^66)(37^66)(41^66),10^92,q1^2ß1,10^32,q9^2ß9,10^106,no,no,10^858,no,yes,yes,no,2.685233535897081293674175618620034100543694240032434801844692326026441892379324060482215481568385634045667382775153066387903137371108912108411748805375155264902200976457489892630387105885697833293025
(5^137)(3^68)(13^68)(17^68)(19^68)(23^68)(29^68)(31^68)(37^68)(41^68),10^95,q1^2ß1,10^33,q9^2ß9,10^109,yes,no,10^884,no,yes,yes,no,2.685233535897081293674175618620059846289307317295511776063492289813364415753181240693428869151472444699187148763776267441797445296752229207975320093468833718250044969256512682925009621617608006348722
(5^141)(3^70)(13^70)(17^70)(19^70)(23^70)(29^70)(31^70)(37^70)(41^70),10^98,q1^2ß1,10^34,q9^2ß9,10^112,no,no,10^910,no,yes,yes,no,2.685233535897081293674175618620062706927708770324742550976692285789689140571846790406491543709965516284512465273277545114454666069103960524369100784130545356207529996515982597705210778097682475445462
(5^145)(3^72)(13^72)(17^72)(19^72)(23^72)(29^72)(31^72)(37^72)(41^72),10^101,q1^2ß1,10^35,q9^2ß9,10^116,yes,yes,10^936,no,yes,yes,no,2.685233535897081293674175618620063024776420042883545970411492285342614109996139105113101044600504467994444815673113215945079485477951997065568579522856487023752569988341539095810946226858684846177357
(5^149)(3^74)(13^74)(17^74)(19^74)(23^74)(29^74)(31^74)(37^74)(41^74),10^104,q1^2ß1,10^36,q9^2ß9,10^119,no,no,10^962,no,yes,yes,no,2.685233535897081293674175618620063060092943517612301905904247840848494662154393783921821336373128736233712537505603915283569554847883937952611077213125509890870158684210702209205440199273489199126395
(5^153)(3^76)(13^76)(17^76)(19^76)(23^76)(29^76)(31^76)(37^76)(41^76),10^106,q1^2ß1,10^37,q9^2ß9,10^122,yes,no,10^988,no,yes,yes,no,2.685233535897081293674175618620063064017001681471052565403442902571370279060866525876617919478161202393433439654884855231783488596184651241682849870159911223672179444658457718113622431174493935514258
(5^157)(3^78)(13^78)(17^78)(19^78)(23^78)(29^78)(31^78)(37^78)(41^78),10^109,q1^2ß1,10^38,q9^2ß9,10^125,no,no,10^1014,no,yes,yes,no,2.685233535897081293674175618620063064453008144122024860903353464985023125383807941648573916521253105478000931730501808222663037023898267497298389889149108075386853734280062494072920535636336575894488
(5^161)(3^80)(13^80)(17^80)(19^80)(23^80)(29^80)(31^80)(37^80)(41^80),10^112,q1^2ß1,10^39,q9^2ß9,10^129,yes,yes,10^1040,no,yes,yes,no,2.685233535897081293674175618620063064501453306638799560403343527475428997197468098956564298434843460579566250775975708482789440256656918020389204744866301170295542028327196705599614435425422059410838
(5^165)(3^82)(13^82)(17^82)(19^82)(23^82)(29^82)(31^82)(37^82)(41^82),10^115,q1^2ß1,10^40,q9^2ß9,10^132,no,no,10^1066,no,yes,yes,no,2.685233535897081293674175618620063064506836102473996749236675756641029649621208116435229868443769174382464957671730627474074264385740436388443879644996584906561079602610487210284558568987079195436730
(5^169)(3^84)(13^84)(17^84)(19^84)(23^84)(29^84)(31^84)(37^84)(41^84),10^118,q1^2ß1,10^41,q9^2ß9,10^135,yes,no,10^1092,no,yes,yes,no,2.685233535897081293674175618620063064507434190900129770218157115437207499890512562821748264945856739648015135878716599808035228336519705545842119909116710126349433332911001373645509135681790669546434
