"Factors","p^a >","Smallest q^2ß","Smallest q^2ß <","Largest q^2ß","Largest q^2ß >","Q^2 =1 mod 16","Q^2 =1 mod 32","N >","N=1 mod 12","N=117 mod 468","N=81 mod 324","105 | N","s(n)/n˜"
(5^657)(3^328)(13^328)(17^328)(19^328)(23^328)(29^328)(31^328)(37^328)(41^328),10^459,q1^2ß1,10^157,q9^2ß9,10^528,yes,yes,10^4262,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953110580048976829683390828330695699157650517
(5^661)(3^330)(13^330)(17^330)(19^330)(23^330)(29^330)(31^330)(37^330)(41^330),10^462,q1^2ß1,10^158,q9^2ß9,10^532,no,no,10^4288,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953364640308412790219692075302677849790906114
(5^665)(3^332)(13^332)(17^332)(19^332)(23^332)(29^332)(31^332)(37^332)(41^332),10^464,q1^2ß1,10^159,q9^2ß9,10^535,yes,no,10^4314,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953392869226127896945947769410675866527934514
(5^669)(3^334)(13^334)(17^334)(19^334)(23^334)(29^334)(31^334)(37^334)(41^334),10^467,q1^2ß1,10^160,q9^2ß9,10^538,no,no,10^4340,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396005772540686582198402089342312832048781
(5^673)(3^336)(13^336)(17^336)(19^336)(23^336)(29^336)(31^336)(37^336)(41^336),10^470,q1^2ß1,10^161,q9^2ß9,10^541,yes,yes,10^4366,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396354277697663208448472386971917976950366
(5^677)(3^338)(13^338)(17^338)(19^338)(23^338)(29^338)(31^338)(37^338)(41^338),10^473,q1^2ß1,10^162,q9^2ß9,10^545,no,no,10^4392,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396393000492882833587369086708540770828320
(5^681)(3^340)(13^340)(17^340)(19^340)(23^340)(29^340)(31^340)(37^340)(41^340),10^475,q1^2ß1,10^163,q9^2ß9,10^548,yes,no,10^4418,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397303025685014158357608901498859036981
(5^685)(3^342)(13^342)(17^342)(19^342)(23^342)(29^342)(31^342)(37^342)(41^342),10^478,q1^2ß1,10^164,q9^2ß9,10^551,no,no,10^4444,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397781084885256444023000256271979949055
(5^689)(3^344)(13^344)(17^344)(19^344)(23^344)(29^344)(31^344)(37^344)(41^344),10^481,q1^2ß1,10^165,q9^2ß9,10^554,yes,yes,10^4470,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397834202574172253541377073468993383730
(5^693)(3^346)(13^346)(17^346)(19^346)(23^346)(29^346)(31^346)(37^346)(41^346),10^484,q1^2ß1,10^166,q9^2ß9,10^558,no,no,10^4496,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840104539607343487863386490883765360
(5^697)(3^348)(13^348)(17^348)(19^348)(23^348)(29^348)(31^348)(37^348)(41^348),10^487,q1^2ß1,10^167,q9^2ß9,10^561,yes,no,10^4522,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840760313544575704139643493316029986
(5^701)(3^350)(13^350)(17^350)(19^350)(23^350)(29^350)(31^350)(37^350)(41^350),10^489,q1^2ß1,10^167,q9^2ß9,10^564,no,no,10^4548,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840833177315379283725894271364059389
(5^705)(3^352)(13^352)(17^352)(19^352)(23^352)(29^352)(31^352)(37^352)(41^352),10^492,q1^2ß1,10^168,q9^2ß9,10^567,yes,yes,10^4574,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840841273289913014791033246702729322
(5^709)(3^354)(13^354)(17^354)(19^354)(23^354)(29^354)(31^354)(37^354)(41^354),10^495,q1^2ß1,10^169,q9^2ß9,10^570,no,no,10^4600,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842172842638984909382021740359315
(5^713)(3^356)(13^356)(17^356)(19^356)(23^356)(29^356)(31^356)(37^356)(41^356),10^498,q1^2ß1,10^170,q9^2ß9,10^574,yes,no,10^4626,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842272792941870478087441188984870
(5^717)(3^358)(13^358)(17^358)(19^358)(23^358)(29^358)(31^358)(37^358)(41^358),10^501,q1^2ß1,10^171,q9^2ß9,10^577,no,no,10^4652,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842283898531079985721376683276598
(5^721)(3^360)(13^360)(17^360)(19^360)(23^360)(29^360)(31^360)(37^360)(41^360),10^503,q1^2ß1,10^172,q9^2ß9,10^580,yes,yes,10^4678,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285132485436597680702849309012
(5^725)(3^362)(13^362)(17^362)(19^362)(23^362)(29^362)(31^362)(37^362)(41^362),10^506,q1^2ß1,10^173,q9^2ß9,10^583,no,no,10^4704,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285269591476221231739089979280
(5^729)(3^364)(13^364)(17^364)(19^364)(23^364)(29^364)(31^364)(37^364)(41^364),10^509,q1^2ß1,10^174,q9^2ß9,10^587,yes,no,10^4730,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285284825480623848520894498199
(5^733)(3^366)(13^366)(17^366)(19^366)(23^366)(29^366)(31^366)(37^366)(41^366),10^512,q1^2ß1,10^175,q9^2ß9,10^590,no,no,10^4756,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286518147779694829983889190
(5^737)(3^368)(13^368)(17^368)(19^368)(23^368)(29^368)(31^368)(37^368)(41^368),10^515,q1^2ß1,10^176,q9^2ß9,10^593,yes,yes,10^4782,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286706221908122197660488189
(5^741)(3^370)(13^370)(17^370)(19^370)(23^370)(29^370)(31^370)(37^370)(41^370),10^517,q1^2ß1,10^177,q9^2ß9,10^596,no,no,10^4808,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286727119033503016291221411
(5^745)(3^372)(13^372)(17^372)(19^372)(23^372)(29^372)(31^372)(37^372)(41^372),10^520,q1^2ß1,10^178,q9^2ß9,10^599,yes,no,10^4834,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729440936323107250191769
(5^749)(3^374)(13^374)(17^374)(19^374)(23^374)(29^374)(31^374)(37^374)(41^374),10^523,q1^2ß1,10^179,q9^2ß9,10^603,no,no,10^4860,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729698925525339578966253
(5^753)(3^376)(13^376)(17^376)(19^376)(23^376)(29^376)(31^376)(37^376)(41^376),10^526,q1^2ß1,10^180,q9^2ß9,10^606,yes,yes,10^4886,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729727590992254282163418
(5^757)(3^378)(13^378)(17^378)(19^378)(23^378)(29^378)(31^378)(37^378)(41^378),10^529,q1^2ß1,10^181,q9^2ß9,10^609,no,no,10^4912,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729730776044133693629770
(5^761)(3^380)(13^380)(17^380)(19^380)(23^380)(29^380)(31^380)(37^380)(41^380),10^531,q1^2ß1,10^182,q9^2ß9,10^612,yes,no,10^4938,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731129938786961570476
(5^765)(3^382)(13^382)(17^382)(19^382)(23^382)(29^382)(31^382)(37^382)(41^382),10^534,q1^2ß1,10^183,q9^2ß9,10^616,no,no,10^4964,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731169260415102452776
(5^769)(3^384)(13^384)(17^384)(19^384)(23^384)(29^384)(31^384)(37^384)(41^384),10^537,q1^2ß1,10^184,q9^2ß9,10^619,yes,yes,10^4990,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731173629484895884143
(5^773)(3^386)(13^386)(17^386)(19^386)(23^386)(29^386)(31^386)(37^386)(41^386),10^540,q1^2ß1,10^185,q9^2ß9,10^622,no,no,10^5016,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174114937095154295
(5^777)(3^388)(13^388)(17^388)(19^388)(23^388)(29^388)(31^388)(37^388)(41^388),10^543,q1^2ß1,10^186,q9^2ß9,10^625,yes,no,10^5042,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174168876228406534
(5^781)(3^390)(13^390)(17^390)(19^390)(23^390)(29^390)(31^390)(37^390)(41^390),10^545,q1^2ß1,10^187,q9^2ß9,10^628,no,no,10^5068,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174174869465434561
(5^785)(3^392)(13^392)(17^392)(19^392)(23^392)(29^392)(31^392)(37^392)(41^392),10^548,q1^2ß1,10^188,q9^2ß9,10^632,yes,yes,10^5094,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175535380659897
(5^789)(3^394)(13^394)(17^394)(19^394)(23^394)(29^394)(31^394)(37^394)(41^394),10^551,q1^2ß1,10^188,q9^2ß9,10^635,no,no,10^5120,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175609371240490
(5^793)(3^396)(13^396)(17^396)(19^396)(23^396)(29^396)(31^396)(37^396)(41^396),10^554,q1^2ß1,10^189,q9^2ß9,10^638,yes,no,10^5146,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175617592416111
(5^797)(3^398)(13^398)(17^398)(19^398)(23^398)(29^398)(31^398)(37^398)(41^398),10^557,q1^2ß1,10^190,q9^2ß9,10^641,no,no,10^5172,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618505880069
(5^801)(3^400)(13^400)(17^400)(19^400)(23^400)(29^400)(31^400)(37^400)(41^400),10^559,q1^2ß1,10^191,q9^2ß9,10^645,yes,yes,10^5198,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618607376065
(5^805)(3^402)(13^402)(17^402)(19^402)(23^402)(29^402)(31^402)(37^402)(41^402),10^562,q1^2ß1,10^192,q9^2ß9,10^648,no,no,10^5224,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618618653397
(5^809)(3^404)(13^404)(17^404)(19^404)(23^404)(29^404)(31^404)(37^404)(41^404),10^565,q1^2ß1,10^193,q9^2ß9,10^651,yes,no,10^5250,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618619906434
(5^813)(3^406)(13^406)(17^406)(19^406)(23^406)(29^406)(31^406)(37^406)(41^406),10^568,q1^2ß1,10^194,q9^2ß9,10^654,no,no,10^5276,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620045661
(5^817)(3^408)(13^408)(17^408)(19^408)(23^408)(29^408)(31^408)(37^408)(41^408),10^571,q1^2ß1,10^195,q9^2ß9,10^658,yes,yes,10^5302,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620061130
(5^821)(3^410)(13^410)(17^410)(19^410)(23^410)(29^410)(31^410)(37^410)(41^410),10^573,q1^2ß1,10^196,q9^2ß9,10^661,no,no,10^5328,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620062849
(5^825)(3^412)(13^412)(17^412)(19^412)(23^412)(29^412)(31^412)(37^412)(41^412),10^576,q1^2ß1,10^197,q9^2ß9,10^664,yes,no,10^5354,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063040
(5^829)(3^414)(13^414)(17^414)(19^414)(23^414)(29^414)(31^414)(37^414)(41^414),10^579,q1^2ß1,10^198,q9^2ß9,10^667,no,no,10^5380,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063061
(5^833)(3^416)(13^416)(17^416)(19^416)(23^416)(29^416)(31^416)(37^416)(41^416),10^582,q1^2ß1,10^199,q9^2ß9,10^670,yes,yes,10^5406,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^837)(3^418)(13^418)(17^418)(19^418)(23^418)(29^418)(31^418)(37^418)(41^418),10^585,q1^2ß1,10^200,q9^2ß9,10^674,no,no,10^5432,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^841)(3^420)(13^420)(17^420)(19^420)(23^420)(29^420)(31^420)(37^420)(41^420),10^587,q1^2ß1,10^201,q9^2ß9,10^677,yes,no,10^5458,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^845)(3^422)(13^422)(17^422)(19^422)(23^422)(29^422)(31^422)(37^422)(41^422),10^590,q1^2ß1,10^202,q9^2ß9,10^680,no,no,10^5484,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^849)(3^424)(13^424)(17^424)(19^424)(23^424)(29^424)(31^424)(37^424)(41^424),10^593,q1^2ß1,10^203,q9^2ß9,10^683,yes,yes,10^5510,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^853)(3^426)(13^426)(17^426)(19^426)(23^426)(29^426)(31^426)(37^426)(41^426),10^596,q1^2ß1,10^204,q9^2ß9,10^687,no,no,10^5536,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^857)(3^428)(13^428)(17^428)(19^428)(23^428)(29^428)(31^428)(37^428)(41^428),10^599,q1^2ß1,10^205,q9^2ß9,10^690,yes,no,10^5562,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^861)(3^430)(13^430)(17^430)(19^430)(23^430)(29^430)(31^430)(37^430)(41^430),10^601,q1^2ß1,10^206,q9^2ß9,10^693,no,no,10^5588,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^865)(3^432)(13^432)(17^432)(19^432)(23^432)(29^432)(31^432)(37^432)(41^432),10^604,q1^2ß1,10^207,q9^2ß9,10^696,yes,yes,10^5614,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^869)(3^434)(13^434)(17^434)(19^434)(23^434)(29^434)(31^434)(37^434)(41^434),10^607,q1^2ß1,10^208,q9^2ß9,10^699,no,no,10^5640,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^873)(3^436)(13^436)(17^436)(19^436)(23^436)(29^436)(31^436)(37^436)(41^436),10^610,q1^2ß1,10^209,q9^2ß9,10^703,yes,no,10^5666,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^877)(3^438)(13^438)(17^438)(19^438)(23^438)(29^438)(31^438)(37^438)(41^438),10^612,q1^2ß1,10^209,q9^2ß9,10^706,no,no,10^5692,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^881)(3^440)(13^440)(17^440)(19^440)(23^440)(29^440)(31^440)(37^440)(41^440),10^615,q1^2ß1,10^210,q9^2ß9,10^709,yes,yes,10^5718,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^885)(3^442)(13^442)(17^442)(19^442)(23^442)(29^442)(31^442)(37^442)(41^442),10^618,q1^2ß1,10^211,q9^2ß9,10^712,no,no,10^5744,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^889)(3^444)(13^444)(17^444)(19^444)(23^444)(29^444)(31^444)(37^444)(41^444),10^621,q1^2ß1,10^212,q9^2ß9,10^716,yes,no,10^5770,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^893)(3^446)(13^446)(17^446)(19^446)(23^446)(29^446)(31^446)(37^446)(41^446),10^624,q1^2ß1,10^213,q9^2ß9,10^719,no,no,10^5796,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^897)(3^448)(13^448)(17^448)(19^448)(23^448)(29^448)(31^448)(37^448)(41^448),10^626,q1^2ß1,10^214,q9^2ß9,10^722,yes,yes,10^5822,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^901)(3^450)(13^450)(17^450)(19^450)(23^450)(29^450)(31^450)(37^450)(41^450),10^629,q1^2ß1,10^215,q9^2ß9,10^725,no,no,10^5848,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^905)(3^452)(13^452)(17^452)(19^452)(23^452)(29^452)(31^452)(37^452)(41^452),10^632,q1^2ß1,10^216,q9^2ß9,10^728,yes,no,10^5874,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^909)(3^454)(13^454)(17^454)(19^454)(23^454)(29^454)(31^454)(37^454)(41^454),10^635,q1^2ß1,10^217,q9^2ß9,10^732,no,no,10^5900,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^913)(3^456)(13^456)(17^456)(19^456)(23^456)(29^456)(31^456)(37^456)(41^456),10^638,q1^2ß1,10^218,q9^2ß9,10^735,yes,yes,10^5926,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^917)(3^458)(13^458)(17^458)(19^458)(23^458)(29^458)(31^458)(37^458)(41^458),10^640,q1^2ß1,10^219,q9^2ß9,10^738,no,no,10^5952,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^921)(3^460)(13^460)(17^460)(19^460)(23^460)(29^460)(31^460)(37^460)(41^460),10^643,q1^2ß1,10^220,q9^2ß9,10^741,yes,no,10^5978,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^925)(3^462)(13^462)(17^462)(19^462)(23^462)(29^462)(31^462)(37^462)(41^462),10^646,q1^2ß1,10^221,q9^2ß9,10^745,no,no,10^6004,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^929)(3^464)(13^464)(17^464)(19^464)(23^464)(29^464)(31^464)(37^464)(41^464),10^649,q1^2ß1,10^222,q9^2ß9,10^748,yes,yes,10^6030,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^933)(3^466)(13^466)(17^466)(19^466)(23^466)(29^466)(31^466)(37^466)(41^466),10^652,q1^2ß1,10^223,q9^2ß9,10^751,no,no,10^6056,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^937)(3^468)(13^468)(17^468)(19^468)(23^468)(29^468)(31^468)(37^468)(41^468),10^654,q1^2ß1,10^224,q9^2ß9,10^754,yes,no,10^6082,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^941)(3^470)(13^470)(17^470)(19^470)(23^470)(29^470)(31^470)(37^470)(41^470),10^657,q1^2ß1,10^225,q9^2ß9,10^758,no,no,10^6108,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^945)(3^472)(13^472)(17^472)(19^472)(23^472)(29^472)(31^472)(37^472)(41^472),10^660,q1^2ß1,10^226,q9^2ß9,10^761,yes,yes,10^6134,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^949)(3^474)(13^474)(17^474)(19^474)(23^474)(29^474)(31^474)(37^474)(41^474),10^663,q1^2ß1,10^227,q9^2ß9,10^764,no,no,10^6160,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^953)(3^476)(13^476)(17^476)(19^476)(23^476)(29^476)(31^476)(37^476)(41^476),10^666,q1^2ß1,10^228,q9^2ß9,10^767,yes,no,10^6186,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^957)(3^478)(13^478)(17^478)(19^478)(23^478)(29^478)(31^478)(37^478)(41^478),10^668,q1^2ß1,10^229,q9^2ß9,10^770,no,no,10^6212,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^961)(3^480)(13^480)(17^480)(19^480)(23^480)(29^480)(31^480)(37^480)(41^480),10^671,q1^2ß1,10^230,q9^2ß9,10^774,yes,yes,10^6238,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^965)(3^482)(13^482)(17^482)(19^482)(23^482)(29^482)(31^482)(37^482)(41^482),10^674,q1^2ß1,10^230,q9^2ß9,10^777,no,no,10^6264,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^969)(3^484)(13^484)(17^484)(19^484)(23^484)(29^484)(31^484)(37^484)(41^484),10^677,q1^2ß1,10^231,q9^2ß9,10^780,yes,no,10^6290,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^973)(3^486)(13^486)(17^486)(19^486)(23^486)(29^486)(31^486)(37^486)(41^486),10^680,q1^2ß1,10^232,q9^2ß9,10^783,no,no,10^6316,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^977)(3^488)(13^488)(17^488)(19^488)(23^488)(29^488)(31^488)(37^488)(41^488),10^682,q1^2ß1,10^233,q9^2ß9,10^787,yes,yes,10^6342,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^981)(3^490)(13^490)(17^490)(19^490)(23^490)(29^490)(31^490)(37^490)(41^490),10^685,q1^2ß1,10^234,q9^2ß9,10^790,no,no,10^6368,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
(5^985)(3^492)(13^492)(17^492)(19^492)(23^492)(29^492)(31^492)(37^492)(41^492),10^688,q1^2ß1,10^235,q9^2ß9,10^793,yes,no,10^6394,no,yes,yes,no,2.685233535897081293674175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064507508951953396397840842285286729731174175618620063064
